1,0.30977,0.12759,-0,0.18219
2,-0,-7.4579e-10,8.3492e-10,4.8311e-10
3,0.3675,0.071713,0.29579,5.5511e-16
4,0.29362,0.057553,-0,0.23607
5,0.3065,0.25357,-0,0.052927
6,0.16058,0.15944,0.0011403,-0
7,0.67301,0.51263,-0,0.16038
8,0.33871,0.22184,-0,0.11687
9,0.32189,0.32066,3.6673e-10,0.0012222
10,0.044405,0.044387,-0,1.8743e-05
11,0.3065,0.19014,0.11636,-0
12,0.046467,0.046455,1.2235e-05,-0
13,0.24414,0.24414,-0,9.0447e-07
14,0.36536,0.30233,-0,0.063027
15,0.38859,0.38859,6.9793e-07,-0
16,NaN,NaN,NaN,NaN
17,-0,2.5496e-11,1.2314e-10,1.4787e-11
18,0.36266,0.3599,0.0027667,-0
19,0.33437,0.12472,-0,0.20964
20,0.1047,0.1047,-0,8.4627e-07
